main_group	env_type	cobo_simon_habitat	parameter	value	term_ids	term_labels
Aquatic	sediment_marine_organic	marine	pH	high	ENVO:03000033|ENVO:01000155	marine sediment|organic material
Aquatic	sediment_marine_organic	marine	salinity variability	small	ENVO:03000033|ENVO:01000155	marine sediment|organic material
Aquatic	sediment_marine_organic	marine	temp variability	low	ENVO:03000033|ENVO:01000155	marine sediment|organic material
Aquatic	sediment_marine_organic	marine	water variability	permanently wet	ENVO:03000033|ENVO:01000155	marine sediment|organic material
Aquatic	sediment_wetland	fresh	Gradients	high	ENVO:00002007|ENVO:01001209	sediment|wetland ecosystem
Aquatic	sediment_wetland	fresh	Organic	high	ENVO:00002007|ENVO:01001209	sediment|wetland ecosystem
Aquatic	sediment_wetland	fresh	Pressure	low	ENVO:00002007|ENVO:01001209	sediment|wetland ecosystem
Aquatic	sediment_wetland	fresh	Salinity	low	ENVO:00002007|ENVO:01001209	sediment|wetland ecosystem
Aquatic	sediment_wetland	fresh	Structural	medium	ENVO:00002007|ENVO:01001209	sediment|wetland ecosystem
Aquatic	sediment_wetland	fresh	Temperature	medium	ENVO:00002007|ENVO:01001209	sediment|wetland ecosystem
Aquatic	sediment_wetland	fresh	Water	high	ENVO:00002007|ENVO:01001209	sediment|wetland ecosystem
Aquatic	sediment_wetland	fresh	pH	low	ENVO:00002007|ENVO:01001209	sediment|wetland ecosystem
Aquatic	sediment_wetland	fresh	salinity variability	small	ENVO:00002007|ENVO:01001209	sediment|wetland ecosystem
Aquatic	sediment_wetland	fresh	temp variability	low	ENVO:00002007|ENVO:01001209	sediment|wetland ecosystem
Aquatic	sediment_wetland	fresh	water variability	permanently wet	ENVO:00002007|ENVO:01001209	sediment|wetland ecosystem
Aquatic	water	NA	Gradients	low	ENVO:00002006	liquid water
Aquatic	water	NA	Structural	low	ENVO:00002006	liquid water
Aquatic	water	NA	Water	high	ENVO:00002006	liquid water
Aquatic	water	NA	water variability	permanently wet	ENVO:00002006	liquid water
Aquatic	water_brackish	NA	Gradients	low	ENVO:00002019	brackish water
Aquatic	water_brackish	NA	Nutrients	medium	ENVO:00002019	brackish water
Aquatic	water_brackish	NA	Pressure	low	ENVO:00002019	brackish water
Aquatic	water_brackish	NA	Salinity	medium	ENVO:00002019	brackish water
Aquatic	water_brackish	NA	Structural	low	ENVO:00002019	brackish water
Aquatic	water_brackish	NA	Water	high	ENVO:00002019	brackish water
Aquatic	water_brackish	NA	pH	medium	ENVO:00002019	brackish water
Aquatic	water_brackish	NA	salinity variability	wide	ENVO:00002019	brackish water
Aquatic	water_brackish	NA	temp variability	medium	ENVO:00002019	brackish water
Aquatic	water_brackish	NA	water variability	permanently wet	ENVO:00002019	brackish water
Aquatic	water_fresh	fresh	Gradients	low	ENVO:00002011	fresh water
Aquatic	water_fresh	fresh	Pressure	low	ENVO:00002011	fresh water
Aquatic	water_fresh	fresh	Salinity	low	ENVO:00002011	fresh water
Aquatic	water_fresh	fresh	Structural	low	ENVO:00002011	fresh water
Aquatic	water_fresh	fresh	Water	high	ENVO:00002011	fresh water
Aquatic	water_fresh	fresh	pH	medium	ENVO:00002011	fresh water
Aquatic	water_fresh	fresh	salinity variability	small	ENVO:00002011	fresh water
Aquatic	water_fresh	fresh	temp variability	medium	ENVO:00002011	fresh water
Aquatic	water_fresh	fresh	water variability	permanently wet	ENVO:00002011	fresh water
Aquatic	water_fresh_alkaline	fresh	Gradients	low	ENVO:00002011|ENVO:01000357	fresh water|alkaline water
Aquatic	water_fresh_alkaline	fresh	Organic	medium	ENVO:00002011|ENVO:01000357	fresh water|alkaline water
Aquatic	water_fresh_alkaline	fresh	Pressure	low	ENVO:00002011|ENVO:01000357	fresh water|alkaline water
Aquatic	water_fresh_alkaline	fresh	Salinity	low	ENVO:00002011|ENVO:01000357	fresh water|alkaline water
Aquatic	water_fresh_alkaline	fresh	Structural	low	ENVO:00002011|ENVO:01000357	fresh water|alkaline water
Aquatic	water_fresh_alkaline	fresh	Water	high	ENVO:00002011|ENVO:01000357	fresh water|alkaline water
Aquatic	water_fresh_alkaline	fresh	pH	high	ENVO:00002011|ENVO:01000357	fresh water|alkaline water
Aquatic	water_fresh_alkaline	fresh	salinity variability	small	ENVO:00002011|ENVO:01000357	fresh water|alkaline water
Aquatic	water_fresh_alkaline	fresh	water variability	permanently wet	ENVO:00002011|ENVO:01000357	fresh water|alkaline water
Aquatic	water_fresh_cold	fresh	Gradients	low	ENVO:00002011|PATO:0001306	fresh water|reduced temperature
Aquatic	water_fresh_cold	fresh	Pressure	low	ENVO:00002011|PATO:0001306	fresh water|reduced temperature
