prego_id	rank	taxon_id	taxon_label	prego_score	direct_flag	channels	corroborated_by
BTO:0000149	13	NCBITaxon:484020	Bifidobacterium bifidum BGN4	3	TRUE	annotated_genomes_isolates	
BTO:0000155	1	NCBITaxon:1162284	Mycobacteroides abscessus M24	3	TRUE	annotated_genomes_isolates	
BTO:0000155	2	NCBITaxon:1162288	Mycobacteroides abscessus M154	3	TRUE	annotated_genomes_isolates	
BTO:0000155	3	NCBITaxon:1220554	Actinomadura chibensis NBRC 106107	3	TRUE	annotated_genomes_isolates	
BTO:0000155	4	NCBITaxon:1718	Corynebacterium glutamicum	3	TRUE	annotated_genomes_isolates	
BTO:0000155	5	NCBITaxon:287	Pseudomonas aeruginosa	3	TRUE	annotated_genomes_isolates	
BTO:0000155	6	NCBITaxon:32002	Achromobacter denitrificans	3	TRUE	annotated_genomes_isolates	
BTO:0000155	7	NCBITaxon:47885	Pseudomonas oryzihabitans	3	TRUE	annotated_genomes_isolates	
BTO:0000155	8	NCBITaxon:51665	Aerococcus urinaeequi	3	TRUE	annotated_genomes_isolates	
BTO:0000155	9	NCBITaxon:76759	Pseudomonas monteilii	3	TRUE	annotated_genomes_isolates	
BTO:0000155	10	NCBITaxon:83655	Leclercia adecarboxylata	3	TRUE	annotated_genomes_isolates	
BTO:0000159	1	NCBITaxon:1085628	Streptomyces sp. Wigar10	3	TRUE	annotated_genomes_isolates	
BTO:0000166	1	NCBITaxon:100176	Papillibacter cinnamivorans	4	TRUE	environmental_samples	
BTO:0000166	2	NCBITaxon:100883	Coprobacillus	4	TRUE	environmental_samples	
BTO:0000166	3	NCBITaxon:102106	Collinsella	4	TRUE	environmental_samples	
BTO:0000166	4	NCBITaxon:102234	Cyanobacterium	4	TRUE	environmental_samples	
BTO:0000166	5	NCBITaxon:1032526	Pedosphaera	4	TRUE	environmental_samples	
BTO:0000166	6	NCBITaxon:1091138		4	TRUE	environmental_samples	
BTO:0000166	7	NCBITaxon:109326	Anaerovorax	4	TRUE	environmental_samples	
BTO:0000166	8	NCBITaxon:1117	Cyanobacteriota	4	TRUE	environmental_samples	
BTO:0000166	9	NCBITaxon:113286	Pseudoramibacter	4	TRUE	environmental_samples	
BTO:0000166	10	NCBITaxon:117563	Granulicatella	4	TRUE	environmental_samples	
BTO:0000166	11	NCBITaxon:118747	Bulleidia	4	TRUE	environmental_samples	
BTO:0000166	12	NCBITaxon:119852	Oscillospira	4	TRUE	environmental_samples	
BTO:0000166	13	NCBITaxon:1249	Weissella paramesenteroides	4	TRUE	environmental_samples	
BTO:0000166	14	NCBITaxon:1253	Pediococcus	4	TRUE	environmental_samples	
BTO:0000166	15	NCBITaxon:1263	Ruminococcus	4	TRUE	environmental_samples	
BTO:0000166	16	NCBITaxon:1265	Ruminococcus flavefaciens	4	TRUE	environmental_samples	
BTO:0000166	17	NCBITaxon:1266	Sarcina	4	TRUE	environmental_samples	
BTO:0000166	18	NCBITaxon:1268	Micrococcaceae	4	TRUE	environmental_samples	
BTO:0000166	19	NCBITaxon:1269	Micrococcus	4	TRUE	environmental_samples	
BTO:0000166	20	NCBITaxon:1279	Staphylococcus	4	TRUE	environmental_samples	
BTO:0000166	21	NCBITaxon:1280	Staphylococcus aureus	4	TRUE	environmental_samples	
BTO:0000166	22	NCBITaxon:1282	Staphylococcus epidermidis	4	TRUE	environmental_samples	
BTO:0000166	23	NCBITaxon:128827	Erysipelotrichaceae	4	TRUE	environmental_samples	
BTO:0000166	24	NCBITaxon:1296	Mammaliicoccus sciuri	4	TRUE	environmental_samples	
BTO:0000166	25	NCBITaxon:1300	Streptococcaceae	4	TRUE	environmental_samples	
BTO:0000176	1	NCBITaxon:1150864	Micromonospora lupini str. Lupac 08	3	TRUE	annotated_genomes_isolates	
BTO:0000182	1	NCBITaxon:1254439	Bifidobacterium thermophilum RBL67	3	TRUE	annotated_genomes_isolates	
BTO:0000182	2	NCBITaxon:1352	Enterococcus faecium	3	TRUE	annotated_genomes_isolates	
BTO:0000182	3	NCBITaxon:135569	Helicobacter apodemus	3	TRUE	annotated_genomes_isolates	
BTO:0000182	4	NCBITaxon:1408441	Helicobacter bilis ATCC 51630	3	TRUE	annotated_genomes_isolates	
BTO:0000182	5	NCBITaxon:1548018	Helicobacter saguini	3	TRUE	annotated_genomes_isolates	
BTO:0000182	6	NCBITaxon:1548147	Helicobacter sp. MIT 03-1614	3	TRUE	annotated_genomes_isolates	
BTO:0000182	7	NCBITaxon:1548148	Helicobacter sp. MIT 03-1616	3	TRUE	annotated_genomes_isolates	
BTO:0000182	8	NCBITaxon:1548149	Helicobacter sp. MIT 05-5293	3	TRUE	annotated_genomes_isolates	
BTO:0000182	9	NCBITaxon:1548150	Helicobacter sp. MIT 05-5294	3	TRUE	annotated_genomes_isolates	
BTO:0000182	10	NCBITaxon:1548151	Helicobacter sp. MIT 11-5569	3	TRUE	annotated_genomes_isolates	
BTO:0000182	11	NCBITaxon:1548153	Campylobacter sp. MIT 97-5078	3	TRUE	annotated_genomes_isolates	
BTO:0000182	12	NCBITaxon:1590	Lactiplantibacillus plantarum	3	TRUE	annotated_genomes_isolates	
BTO:0000182	13	NCBITaxon:1677920	Helicobacter jaachi	3	TRUE	annotated_genomes_isolates	
