canonical_path	ecosystem	ecosystem_category	ecosystem_type	ecosystem_subtype	specific_ecosystem	leaf_label	depth	gold_node_count	organism_count	study_count	biosample_count	total_assertions	gold_node_ids
Engineered > Solid waste > Brown waste > Hay	Engineered	Solid waste	Brown waste	Hay		Hay	4	2	3	0	0	3	gold.ecosystem:7111|gold.ecosystem:7112
Engineered > Solid waste > Food waste > Composting	Engineered	Solid waste	Food waste	Composting		Composting	4	2	3	0	0	3	gold.ecosystem:4947|gold.ecosystem:4948
Engineered > Wastewater > Industrial wastewater > Acid mine drainage > Sediment	Engineered	Wastewater	Industrial wastewater	Acid mine drainage	Sediment	Sediment	5	1	3	0	0	3	gold.ecosystem:6076
Engineered > Wastewater > Nutrient removal > Dissolved organics (anaerobic)	Engineered	Wastewater	Nutrient removal	Dissolved organics (anaerobic)		Dissolved organics (anaerobic)	4	2	3	0	0	3	gold.ecosystem:3830|gold.ecosystem:4260
Environmental > Air > Indoor Air > Poultry farm	Environmental	Air	Indoor Air	Poultry farm		Poultry farm	4	2	3	0	0	3	gold.ecosystem:6883|gold.ecosystem:6899
Environmental > Aquatic > Deep subsurface > Groundwater > Mine water	Environmental	Aquatic	Deep subsurface	Groundwater	Mine water	Mine water	5	1	3	0	0	3	gold.ecosystem:5964
Environmental > Aquatic > Deep subsurface > Shale gas/oil reservoir > Produced water/Flow back	Environmental	Aquatic	Deep subsurface	Shale gas/oil reservoir	Produced water/Flow back	Produced water/Flow back	5	1	3	0	0	3	gold.ecosystem:7795
Environmental > Aquatic > Freshwater > Drinking water > Delivery networks	Environmental	Aquatic	Freshwater	Drinking water	Delivery networks	Delivery networks	5	1	3	0	0	3	gold.ecosystem:4058
Environmental > Aquatic > Freshwater > Puddle	Environmental	Aquatic	Freshwater	Puddle		Puddle	4	2	3	0	0	3	gold.ecosystem:5746|gold.ecosystem:5747
Environmental > Aquatic > Freshwater > Subglacial lake	Environmental	Aquatic	Freshwater	Subglacial lake		Subglacial lake	4	2	3	0	0	3	gold.ecosystem:3794|gold.ecosystem:4737
Environmental > Aquatic > Marine > Cold seeps > Microbial mats	Environmental	Aquatic	Marine	Cold seeps	Microbial mats	Microbial mats	5	1	3	0	0	3	gold.ecosystem:8100
Environmental > Aquatic > Marine > Fjord > Sediment	Environmental	Aquatic	Marine	Fjord	Sediment	Sediment	5	1	3	0	0	3	gold.ecosystem:7944
Environmental > Aquatic > Marine > Intertidal zone > Mangrove swamp	Environmental	Aquatic	Marine	Intertidal zone	Mangrove swamp	Mangrove swamp	5	1	3	0	0	3	gold.ecosystem:4018
Environmental > Aquatic > Marine > Littoral zone	Environmental	Aquatic	Marine	Littoral zone		Littoral zone	4	2	3	0	0	3	gold.ecosystem:7907|gold.ecosystem:7909
Environmental > Aquatic > Marine > Oceanic > Microbial mats	Environmental	Aquatic	Marine	Oceanic	Microbial mats	Microbial mats	5	1	3	0	0	3	gold.ecosystem:4557
Environmental > Aquatic > Marine > Oceanic > Oceanic crust	Environmental	Aquatic	Marine	Oceanic	Oceanic crust	Oceanic crust	5	1	3	0	0	3	gold.ecosystem:4636
Environmental > Aquatic > Marine > Wetlands	Environmental	Aquatic	Marine	Wetlands		Wetlands	4	2	3	0	0	3	gold.ecosystem:3783|gold.ecosystem:4055
Environmental > Aquatic > Marine > Wetlands > Sediment	Environmental	Aquatic	Marine	Wetlands	Sediment	Sediment	5	1	3	0	0	3	gold.ecosystem:4056
Environmental > Aquatic > Thermal springs > Near-boiling (>90C)	Environmental	Aquatic	Thermal springs	Near-boiling (>90C)		Near-boiling (>90C)	4	2	3	0	0	3	gold.ecosystem:3763|gold.ecosystem:4818
Environmental > Aquatic > Thermal springs > Tepid (25-34C)	Environmental	Aquatic	Thermal springs	Tepid (25-34C)		Tepid (25-34C)	4	2	3	0	0	3	gold.ecosystem:3760|gold.ecosystem:3989
